orig_address,orig_city,orig_state,orig_country,subpremise,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code,lat,lng,partial_match
 750 Main Street South,Southbury,CT,6488,"",750,Main Street South,Southbury,New Haven County,Connecticut,United States,06488,41.4639075,-73.231633,true
 1228 E. College St,Pulaski,TN,38478,"",1228,East College Street,Pulaski,Giles County,Tennessee,United States,38478,35.192884,-87.0082709,false
 1960 O'Brig Avenue,Guntersville,AL,35976,"",1960,Obrig Avenue,Guntersville,Marshall County,Alabama,United States,35976,34.3397549,-86.3136172,false
 1159 Main Street,Melrose,MA,2176,"",1159,Main Street,Melrose,Middlesex County,Massachusetts,United States,02176,42.4740949,-71.0610717,true
 129 Foxall St,Hartsville,TN,37074,"",129,Foxall Street,Hartsville,Trousdale County,Tennessee,United States,37074,36.3907251,-86.1687465,false
 325 East Nash Street,Wilson,NC,27893,"",325,Nash Street Northeast,Wilson,Wilson County,North Carolina,United States,27893,35.723648,-77.908514,true
 2215 N. Patterson,Valdosta,GA,31602,"",2215,North Patterson Street,Valdosta,Lowndes County,Georgia,United States,31602,30.8575,-83.2885,true
 403 Main Street,Saint Paul,KS,66771,"",403,Main Street,Saint Paul,Neosho County,Kansas,United States,66771,37.5189295,-95.17149570000001,true
 112 N. 26th Street,Parsons,KS,67357,"",112,North 26th Street,Parsons,Labette County,Kansas,United States,67357,37.3406572,-95.2755069,false
 251 Richneck Rd,Newport News,VA,23608,"",251,Richneck Road,Newport News,"",Virginia,United States,23608,37.1518706,-76.528033,false
 705 S. Caroline Street,Rockingham,NC,28379,"",705,South Caroline Street,Rockingham,Richmond County,North Carolina,United States,28379,34.928239,-79.776219,false
 302 Carter Street,Union Springs,AL,36089,"","","",Union Springs,Bullock County,Alabama,United States,36089,32.144316,-85.7149495,true
 265 Hwy 211 NW,Winder,GA,30680,"",265,Highway 211,Winder,Barrow County,Georgia,United States,30680,33.9985005,-83.7415285,true
 234 South Lake Drive,Prestonburg,KY,41653,"",234,South Lake Drive,Prestonsburg,Floyd County,Kentucky,United States,41653,37.6674929,-82.7348263,true
 143 E Church St.,Ellerbe,NC,28338,"",143,Church Street,Ellerbe,Richmond County,North Carolina,United States,28338,35.0726579,-79.758833,true
 111 N. Ingold Avenue,Garland,NC,28441,"",111,North Ingold Avenue,Garland,Sampson County,North Carolina,United States,28441,34.7870122,-78.3927199,false
 10512 Ford Avenue,Richmond Hill,GA,31324,"",10512,Ford Avenue,Richmond Hill,Bryan County,Georgia,United States,31324,31.9415539,-81.3066728,false
 308 West Oglethorpe Blvd,Hinesville,GA,31313,"","",West Oglethorpe Boulevard,Hinesville,Liberty County,Georgia,United States,31313,31.83684,-81.5968564,true
 1316 Oak Street,Duncan,OK,73533,"",1316,Oak Avenue,Duncan,Stephens County,Oklahoma,United States,73533,34.5046189,-97.96396949999999,true
 520 Watauga Street,Kingsport,TN,37660,"",520,Watauga Street,Kingsport,Sullivan County,Tennessee,United States,37660,36.5492389,-82.5565597,false
 1115 Hwy 11 W,Church Hill,TN,37642,"",1115,U.S. 11W,Church Hill,Hawkins County,Tennessee,United States,37642,36.5169761,-82.70972429999999,true
 206 Virginia Avenue,Clarksville,VA ,23927,"",206,Virginia Avenue,Clarksville,Mecklenburg County,Virginia,United States,23927,36.6262219,-78.55407660000002,false
 151 South Main Street,Bellingham,MA,2019,"",151,South Main Street,Bellingham,Norfolk County,Massachusetts,United States,02019,42.0298941,-71.49166079999999,true
 150 Court Street,Plymouth,MA,2360,"",150,Court Street,Plymouth,Plymouth County,Massachusetts,United States,02360,41.9625782,-70.6745583,true
 232 E. Fairfax Lane,Winchester,VA,22601,"",232,East Fairfax Lane,Winchester,"",Virginia,United States,22601,39.1866245,-78.16009869999999,false
 1217 E. Wheeler Rd,Moses Lake,WA,98837,"",1217,East Wheeler Road,Moses Lake,Grant County,Washington,United States,98837,47.1308233,-119.2583656,false
 378 Eastmont Ave,East Wenatchee, WA,98802,"",378,Eastmont Avenue,East Wenatchee,Douglas County,Washington,United States,98802,47.410756,-120.282504,false
 1939 Mount Brynion Road,Kelso,WA,98626,"",1939,Mount Brynion Road,Kelso,Cowlitz County,Washington,United States,98626,46.163914,-122.887262,false
 6303 East 18th Street,Vancouver,WA,98661,"",6303,East 18th Street,Vancouver,Clark County,Washington,United States,98661,45.6358079,-122.6074783,false
 110 B. Street,Saint Albans,WV,25177,"",110,B Street,Saint Albans,Kanawha County,West Virginia,United States,25177,38.391304,-81.8379999,false
 5700 Dixie Highway,Saginaw,MI,48601,"",5700,Dixie Highway,Saginaw,Saginaw County,Michigan,United States,48601,43.3741348,-83.8931882,false
 201 N Miller Road,Saginaw,MI,48609,"",201,North Miller Road,Saginaw,Saginaw County,Michigan,United States,48609,43.417007,-84.072203,false
 409 Adams Street,Saginaw,MI,48602,"",409,Adams Street,Saginaw,Saginaw County,Michigan,United States,48602,43.41627829999999,-83.9644934,false
 4480 Mackinaw Road,Saginaw,MI,48603,"",4480,Mackinaw Road,Saginaw,Saginaw County,Michigan,United States,48603,43.4503877,-83.99426249999999,false
 105 East 1st Street,Princeton,NC,27569,"",105,East 1st Street,Princeton,Johnston County,North Carolina,United States,27569,35.4647379,-78.160905,false
 15213 State Highway 59,Foley,AL,36535,"",15213,Highway 59,Foley,Baldwin County,Alabama,United States,36535,30.4466116,-87.6839153,false
 866 Church SE,Smyrna,GA,30080,"",866,Church Street,Smyrna,Cobb County,Georgia,United States,30080,33.878908,-84.5290349,true
 122 W. Dunlap Street,Northville,MI,48167,"",122,West Dunlap Street,Northville,Wayne County,Michigan,United States,48167,42.432373,-83.484179,false
 544 Old Post Road #3,Greenwich,CT,6830,"",544,Old Post Road,Bedford,Westchester County,New York,United States,10506,41.2024614,-73.64412730000001,false
 1219 Sheffield Avenue,Dyer, IN ,46311,"",1219,Sheffield Avenue,Dyer,Lake County,Indiana,United States,46311,41.509348,-87.518444,false
 80 Donnie Dean Drive,Castlewood,VA,24224,"","",Donnie Dean Drive,Castlewood,Russell County,Virginia,United States,24224,36.8909726,-82.306663,true
 802 Washington St,Ravenswood,WV,26164,"",802,Washington Street,Ravenswood,Jackson County,West Virginia,United States,26164,38.9580709,-81.770028,false
 Evans Road,Evans,WV,25241,"","",Evans Road,Evans,Jackson County,West Virginia,United States,25241,38.8275719,-81.788821,false
 3060 Hwy 70 SE,Hickory,NC,28602,"",3060,US Highway 70 Southeast,Hickory,Catawba County,North Carolina,United States,28602,35.6975819,-81.2714756,true
 1023 Old Brookhaven Road,Summit,MS,39666,"",1023,Old Brookhaven Road,Summit,Pike County,Mississippi,United States,39666,31.29026069999999,-90.4802361,false
 506 Maryland,McComb,MS,39648,"",506,Maryland Avenue,McComb,Pike County,Mississippi,United States,39648,31.2466005,-90.4561146,true
 573 Pine Street,Manchester,NH,3104,"",573,Pine Street,Manchester,Hillsborough County,New Hampshire,United States,03104,42.9993074,-71.4600329,true
 156 Saco Avenue,Old Orchard Beach,ME,4064,"",156,Saco Avenue,Old Orchard Beach,York County,Maine,United States,04064,43.511926,-70.394632,true
 203 NW Kerron,Winlock,WA,98596,"",203,Northwest Kerron Street,Winlock,Lewis County,Washington,United States,98596,46.4912752,-122.938162,true
 201 East 7th Street,Hastings,MN,55033,"",201,7th Street East,Hastings,Dakota County,Minnesota,United States,55033,44.7395286,-92.8509241,true
 494 East Plaza Drive,Mooresville,NC,28115,"",494,East Plaza Drive,Mooresville,Iredell County,North Carolina,United States,28115,35.5968431,-80.81334389999999,false
 710 West 1st Street,Park Rapids,MN,56470,"",710,1st Street West,Park Rapids,Hubbard County,Minnesota,United States,56470,46.9216564,-95.0683457,true
 105 West Main St,Nevis,MN,56467,"","",Main Street,Nevis,Hubbard County,Minnesota,United States,56467,46.96461730000001,-94.84689689999999,true
 11 Central Avenue,Cass Lake,MN,56633,"",11,Central Avenue,Cass Lake,Cass County,Minnesota,United States,56633,47.3778709,-94.6030924,true
 2807 Irvine Avenue NW,Bemidji,MN,56601,"",2807,Irvine Avenue Northwest,Bemidji,Beltrami County,Minnesota,United States,56601,47.496452,-94.8864683,false
 66 South Street,Ware,MA,1082,"",66,South Street,Ware,Hampshire County,Massachusetts,United States,01082,42.2550697,-72.2408217,true
 106 Cherryville Road,Shelby,NC,28151,"",106,Cherryville Road,Shelby,Cleveland County,North Carolina,United States,28150,35.296553,-81.509435,true
 10153 Kentucky 54,Whitesville,KY,42378,"",10153,Highway 54,Whitesville,Daviess County,Kentucky,United States,42378,37.6836697,-86.8688372,false
 7200 180th AvenueNortheast,Redmond,WA,98052,"",7200,180th Avenue Northeast,Redmond,King County,Washington,United States,98052,47.6691861,-122.1001164,true
 25662 A.P. Hill Blvd,Port Royal,VA,22535,"",25662,A P Hill Boulevard,Port Royal,Caroline County,Virginia,United States,22535,38.165464,-77.196512,false
 403 N. Michigan,Saginaw,MI,48602,"",403,North Michigan Avenue,Saginaw,Saginaw County,Michigan,United States,48602,43.4197713,-83.9617799,true
 590 N. Franklin Street,Frankenmuth,MI,48734,"",590,North Franklin Street,Frankenmuth,Saginaw County,Michigan,United States,48734,43.345669,-83.740889,false
 812 Hillsboro Hwy,Manchester,TN,37355,"",812,Old Hillsboro Highway,Hillsboro,Coffee County,Tennessee,United States,37342,35.4155625,-85.9961853,true
 511 Martin Luther King Junior Drive,Lumberton,NC,28358,"",511,Martin Luther King Junior Drive,Lumberton,Robeson County,North Carolina,United States,28358,34.616661,-79.015901,false
 70 Highway 130,Louisville,AL,36027,"",70,Highway 130,Louisville,Barbour County,Alabama,United States,36048,31.7826717,-85.5772224,true
 1176 Dale Road,Eufaula,AL,36027,"",1176,Dale Road,Eufaula,Barbour County,Alabama,United States,36027,31.8757887,-85.15495229999999,false
 115 Yazoo Street,Lexington,MS,39095,"",115,Yazoo Street,Lexington,Holmes County,Mississippi,United States,39095,33.11164249999999,-90.0522534,true
 622 New Orleans,Hattiesburg,MS,39401,"",622,New Orleans Street,Hattiesburg,Forrest County,Mississippi,United States,39401,31.33548,-89.29163,true
 101 Price Street,Crystal Springs,MS,39059,"","",Price Street,Crystal Springs,Copiah County,Mississippi,United States,39059,31.9901706,-90.3604809,true
 1123 5th Avenue N.,Columbus,MS,39701,"",1123,5th Avenue North,Columbus,Lowndes County,Mississippi,United States,39701,33.500781,-88.420689,false
 727 Webster,Yazoo City,MS,39194,"",727,Webster Avenue,Yazoo City,Yazoo County,Mississippi,United States,39194,32.8560849,-90.4018153,true
 506 Ashton Avenue,Clarksdale,MS,38614,"",506,Ashton Avenue,Clarksdale,Coahoma County,Mississippi,United States,38614,34.197666,-90.57042299999999,false
 112 W Main St,Starkville,MS,39759,"",112,West Main Street,Starkville,Oktibbeha County,Mississippi,United States,39759,33.4638585,-88.8165099,false
 1135 Route 60,Ceredo,WV,25507,"",1622,Oak Street,Kenova,Wayne County,West Virginia,United States,25530,38.4019421,-82.5805727,true
 235 Main Street,New London,NH,3257,"",235,Main Street,New London,Merrimack County,New Hampshire,United States,03257,43.4158701,-71.9870775,true
 154 Webster Street,Riverside,NJ,8075,"",154,Webster Street,Riverside,Burlington County,New Jersey,United States,08075,40.0364999,-74.9547,true
 20742 State Street,Onaway,MI,49765,"",20742,State Street,Onaway,Presque Isle County,Michigan,United States,49765,45.3578662,-84.2286676,false
 825 Chamber Street,Trenton,NJ,8611,"",825,Chambers Street,Trenton,Mercer County,New Jersey,United States,08611,40.2130987,-74.7402943,true
 1030 Main Street,Wellsburg,WV,26070,"",1030,Main Street,Wellsburg,Brooke County,West Virginia,United States,26070,40.2731768,-80.6124057,false
 2527 9th Ave. N,Bessemer,AL,35020,"",2527,9th Avenue North,Bessemer,Jefferson County,Alabama,United States,35020,33.4138674,-86.9546522,false
 Route 49 Hatfield Bottom,Matewan,WV,25678,"",49,Hatfield Bottom,Williamson,Mingo County,West Virginia,United States,25661,37.6237129,-82.1811144,true
 45 North Main Street,Walton,KY,41094,"",45,North Main Street,Walton,Boone County,Kentucky,United States,41094,38.8665896,-84.6123686,false
 11382 Madison Pike,Independence,KY,41051,"",11382,Madison Pike,Independence,Kenton County,Kentucky,United States,41051,38.9193293,-84.5442274,false
 8461 Dixie Hwy,Florence,KY,41042,"",8461,Dixie Highway,Florence,Boone County,Kentucky,United States,41042,38.9623303,-84.61782749999999,false
 2576 Hwy 49 S,Florence,MS,39073,"",2576,Highway 49 South,Florence,Rankin County,Mississippi,United States,39073,32.1699171,-90.13076629999999,false
 510 North 5th Street,Chandler,MN,56122,"",510,5th Street,Chandler,Murray County,Minnesota,United States,56122,43.9341118,-95.94859319999999,true
 1015 W. Collin Raye Drive,De Queen,AR,71832,"",1015,West Collin Raye Drive,De Queen,Sevier County,Arkansas,United States,71832,34.046381,-94.3502767,false
 8901 Hwy. 18 W,Vernon,AL,35592,"",8901,Highway 18,Vernon,Lamar County,Alabama,United States,35592,33.7470268,-88.023896,true
 45 Main St,South Paris,ME,4281,"",45,Main Street,Paris,Oxford County,Maine,United States,04281,44.2228749,-70.51524719999999,true
 26 W. Dwinal Street,Mechanic Falls,ME,4256,"",26,West Dwinal Street,Mechanic Falls,Androscoggin County,Maine,United States,04256,44.11226449999999,-70.3957468,true
 8 Elm St.,Bridgton,ME,4009,"",8,Elm Street,Bridgton,Cumberland County,Maine,United States,04009,44.0556738,-70.7070165,true
 2506 Concord Pike,Wilmington,DE,19803,"",2506,Concord Pike,Wilmington,New Castle County,Delaware,United States,19803,39.79504499999999,-75.5477942,false
 7230 Lancaster Pike,Hockessin,DE,19707,"",7230,Lancaster Pike,Hockessin,New Castle County,Delaware,United States,19707,39.786041,-75.68844,false
 528 South Third St,McAlester,OK,74501,"",528,South 3rd Street,McAlester,Pittsburg County,Oklahoma,United States,74501,34.9254548,-95.76799179999999,false
 542 W. 52nd Street,Anniston,AL,36206,"",542,West 52nd Street,Anniston,Calhoun County,Alabama,United States,36206,33.7129136,-85.8420077,false
 8178 Cline Avenue,Schererville,IN,46375,"",8178,Cline Avenue,Schererville,Lake County,Indiana,United States,46375,41.4700147,-87.432457,false
 820 Liberty Street,Oskaloosa,KS,66066,"",820,Liberty Street,Oskaloosa,Jefferson County,Kansas,United States,66066,39.21205399999999,-95.31484599999999,false
 302 W. Main Street,Highland,KS,66035,"",302,West Main Street,Highland,Doniphan County,Kansas,United States,66035,39.8595755,-95.2674974,false
 124 S. 7th,Hiawatha,KS,66434,"",124,South 7th Street,Hiawatha,Brown County,Kansas,United States,66434,39.8521727,-95.5376335,true
 101 W. Wyandotte,Meriden,KS,66512,"",101,West Wyandotte Street,Meriden,Jefferson County,Kansas,United States,66512,39.18694199999999,-95.571207,true
 823 Martin Luther King Avenue,Laurel,MS,39440,"",823,Martin Luther King Avenue,Laurel,Jones County,Mississippi,United States,39440,31.69813809999999,-89.1198306,false
 4670 S Inkster Rd,Westland,MI,48185,"",4670,Inkster Road,Westland,Wayne County,Michigan,United States,48186,42.2748603,-83.3097477,true
 16300 112th Ave NE,Bothell,WA,98011,"",16300,112th Avenue Northeast,Bothell,King County,Washington,United States,98011,47.7462368,-122.1892168,false
 2065 Upper River Road,Grants Pass,OR,97526,"",2065,Upper River Road,Grants Pass,Josephine County,Oregon,United States,97526,42.44001,-123.3525263,false
 108 W. Delaware,Cleveland,OK,74020,"",108,West Delaware Street,Cleveland,Pawnee County,Oklahoma,United States,74020,36.3086229,-96.4649007,true
 2599 Cranberry Hwy,Wareham,MA,2571,"",2599,Cranberry Highway,Wareham,Plymouth County,Massachusetts,United States,02571,41.7690378,-70.71781560000001,true
 56 Edgartown Vineyard Haven Road,Oak Bluffs,MA,2557,"",56,Oak Bluffs Avenue,Oak Bluffs,Dukes County,Massachusetts,United States,02557,41.4575591,-70.55736019999999,true
 74 Algonquin Ave,Mashpee,MA,2648,"",74,Algonquin Avenue,Mashpee,Barnstable County,Massachusetts,United States,02649,41.615699,-70.515168,true
 475 Main St,Falmouth,MA,2540,"",475,Main Street,Falmouth,Barnstable County,Massachusetts,United States,02540,41.5521264,-70.6094162,true
 584 W. Falmouth Hwy,West Falmouth,MA,2574,"",584,West Falmouth Highway,Falmouth,Barnstable County,Massachusetts,United States,02574,41.60170069999999,-70.63633399999999,true
 5951 Golden Isles Pkwy,Brunswick,GA,31525,"",5951,Golden Isles Parkway,Brunswick,Glynn County,Georgia,United States,31525,31.2592716,-81.50306940000002,false
 3624 Winfield Rd,Winfield,WV,25213,"",3624,Winfield Road,Winfield,Putnam County,West Virginia,United States,25213,38.5283904,-81.90379890000001,false
 3941 Teays Valley Rd,Hurricane,WV,25526,"",3941,Teays Valley Road,Hurricane,Putnam County,West Virginia,United States,25526,38.4468178,-81.94700089999999,false
 431 W. Harrison Avenue,Clarksville, IN ,47129,"",431,West Harrison Avenue,Clarksville,Clark County,Indiana,United States,47129,38.2872917,-85.7641246,false
 100 E. Fair Street,Eufaula,AL,36027,"",100,East Fair Street,Eufaula,Barbour County,Alabama,United States,36027,31.8848514,-85.14539189999999,false
 427 N. Main Street,Swainsboro,GA,30401,"",427,North Main Street,Swainsboro,Emanuel County,Georgia,United States,30401,32.6051009,-82.3392837,false
 2851 Third Avenue,Huntington,WV,25702,"",2851,3rd Avenue,Huntington,Cabell County,West Virginia,United States,25702,38.42917,-82.400629,false
 637 W. Main St,Fennville,MI,49408,"",637,West Main Street,Fennville,Allegan County,Michigan,United States,49408,42.5939883,-86.1121424,false
 325 W. 6th Street,Concordia,KS,66901,"",325,West 6th Street,Concordia,Cloud County,Kansas,United States,66901,39.5718496,-97.66424190000001,false
 310 Washington Street,Clyde,KS,66938,"",310,Washington Street,Clyde,Cloud County,Kansas,United States,66938,39.5911735,-97.39766019999999,true
 30 Pleasant Street,Ware,MA,1082,"",30,Pleasant Street,Ware,Hampshire County,Massachusetts,United States,01082,42.2612112,-72.2392686,true
 4917 Judge Perez Drive,"Violet,",LA,70092,"",4917,East Judge Perez Drive,Violet,St. Bernard Parish,Louisiana,United States,70092,29.9211985,-89.9051683,true
 80 Broadway,Methuen,MA,1844,"",80,Broadway,Methuen,Essex County,Massachusetts,United States,01844,42.7199239,-71.1809497,true
 33 Pearson St,Andover,MA,1810,"",33,Pearson Street,Andover,Essex County,Massachusetts,United States,01810,42.6574196,-71.14379269999999,true
 33 Cottage St,Franklin,MA,2038,"",33,Cottage Street,Franklin,Norfolk County,Massachusetts,United States,02038,42.081597,-71.397858,true
 1806 East Michigan Avenue,Jackson,MI,49202,"",1806,East Michigan Avenue,Jackson,Jackson County,Michigan,United States,49202,42.2522102,-84.38139389999999,false
 202 East Madison Ave,Berryville,AR,72616,"",202,East Madison Avenue,Berryville,Carroll County,Arkansas,United States,72616,36.36512,-93.56564499999999,false
 2309 Lancaster Avenue,Wilmington,DE,19805,"",2309,Lancaster Avenue,Wilmington,New Castle County,Delaware,United States,19805,39.7487682,-75.5789617,false
 2300 South Lincoln,Mount Pleasant,MI,48858,"",2300,South Lincoln Road,Mount Pleasant,Isabella County,Michigan,United States,48858,43.60750609999999,-84.8094833,true
 6119 Tyler Place,West New York,NJ,7093,"",6119,Tyler Place,West New York,Hudson County,New Jersey,United States,07093,40.790264,-74.013542,true
 314 Main Street,Charlestown,NH,3603,"",314,Main Street,Charlestown,Sullivan County,New Hampshire,United States,03603,43.233662,-72.42402469999999,true
 10761 Bank Street,Clinton,LA,70722,"",10761,Bank Street,Clinton,East Feliciana Parish,Louisiana,United States,70722,30.8572674,-91.0182955,false
 4230 High St,Zachary,LA,70791,"",4230,High Street,Zachary,East Baton Rouge Parish,Louisiana,United States,70791,30.6501653,-91.15929829999999,false
 2521 Highway 31,Calera,AL,35040,"",2521,U.S. 31,Calera,Shelby County,Alabama,United States,35040,33.1819875,-86.76000359999999,true
 2115 Washington Street,Great Bend,KS,67530,"",2115,Washington Street,Great Bend,Barton County,Kansas,United States,67530,38.3734553,-98.7745719,false
 501 W. 6th Avenue,Emporia,KS,66801,"",501,West 6th Avenue,Emporia,Lyon County,Kansas,United States,66801,38.4046834,-96.1868942,false
 719 Pine Street,La Crosse,KS,67548,"",719,Pine Street,La Crosse,Rush County,Kansas,United States,67548,38.5298745,-99.3154351,false
 10250 Shawnee Mission Pkwy,Shawnee Mission,KS,66203,"",10250,Shawnee Mission Parkway,Shawnee,Johnson County,Kansas,United States,66203,39.015588,-94.70497399999999,false
 16731 Springdale Road,Leavenworth,KS,66048,"",16731,Springdale Road,Leavenworth,Leavenworth County,Kansas,United States,66048,39.3026426,-94.9648368,false
 21190 East Main Street,Huntingdon,TN,38344,"",21190,East Main Street,Huntingdon,Carroll County,Tennessee,United States,38344,36.0079205,-88.4024982,false
 705 W. Warren Street,Mitchell,IN,47446,"",705,West Warren Street,Mitchell,Lawrence County,Indiana,United States,47446,38.733838,-86.474182,false
 5899 Hwy 311,Houma,LA,70360,"",5899,Highway 311,Houma,Terrebonne Parish,Louisiana,United States,70360,29.5855599,-90.72802,false
 405 NC Highway 57,Hillsborough,NC,27278,"",405,Highway 57,Hillsborough,Orange County,North Carolina,United States,27278,36.0922506,-79.103974,true
 117 Elizabeth Street,Ashland City,TN,37015,"",117,Elizabeth Street,Ashland City,Cheatham County,Tennessee,United States,37015,36.269604,-87.06224499999999,false
 211 West Okmulgee Avenue,Checotah,OK,74426,"",211,West Okmulgee Avenue,Checotah,McIntosh County,Oklahoma,United States,74426,35.4722409,-95.52228269999999,true
 1012 Newport,"Pawtucket,",RI,2861,"",1012,Newport Avenue,Pawtucket,Providence County,Rhode Island,United States,02861,41.88263999999999,-71.354495,true
 126 N. Highland Street,Winchester,KY,40391,"",126,North Highland Street,Winchester,Clark County,Kentucky,United States,40391,37.9954888,-84.1741124,false
 501 Pine Street,Bronson,KS,66716,"",501,Pine Street,Bronson,Bourbon County,Kansas,United States,66716,37.8974717,-95.0708389,false
 201 S. Main Street,Fort Scott,KS,66701,"",201,South Main Street,Fort Scott,Bourbon County,Kansas,United States,66701,37.83963050000001,-94.7057861,false
 306 E. George Street,Windsor,NC,27983,"",306,George Street,Windsor,Bertie County,North Carolina,United States,27983,36.0042199,-76.9486979,true
 46 South Winchester Street,West Swanze,NH,3469,"",46,Old Swanzey Road,Winchester,Cheshire County,New Hampshire,United States,03470,42.8434387,-72.3605307,true
 44 Maple Avenue,Keene,NH,3431,"",44,Maple Avenue,Keene,Cheshire County,New Hampshire,United States,03431,42.9502141,-72.32177,true
 57 Hayden Rowe,Hopkinton,MA,1748,"",57,Hayden Rowe Street,Hopkinton,Middlesex County,Massachusetts,United States,01748,42.22358089999999,-71.51640859999999,true
 854 Washington,Holliston,MA,1746,"",854,Washington Street,Holliston,Middlesex County,Massachusetts,United States,01746,42.1983331,-71.4304307,true
 2100 Fairmount,Richmond,VA,23223,"",2100,Fairmount Avenue,Richmond,"",Virginia,United States,23223,37.542586,-77.4136599,true
 2605 S. Shirlingto nRoad,Arlington,VA,22206,"",2605,South Shirlington Road,Arlington,Arlington County,Virginia,United States,22206,38.8462112,-77.0831567,true
 3305 Colby,Everett,WA,98201,"",3305,Colby Avenue,Everett,Snohomish County,Washington,United States,98201,47.973835,-122.208397,true
 738 E. Oakland,Monticello,AR,71655,"",738,East Oakland Avenue,Monticello,Drew County,Arkansas,United States,71655,33.6335881,-91.78088699999999,true
 11005 Highway 41,Brewton,AL,36426,"",11005,Highway 41,Brewton,Escambia County,Alabama,United States,36426,31.14094369999999,-87.1275179,false
 134 Dr. Martin Luther Avenue,Millry,AL,36558,"",134,Doctor Martin Luther King Avenue,Millry,Washington County,Alabama,United States,36558,31.6263305,-88.31515619999999,true
 78 Harris,Atmore,AL,36502,"",78,Harris Street,Atmore,Escambia County,Alabama,United States,36502,31.0297093,-87.4838953,true
 1520 E. Main Street,Rogersville,TN,37857,"",1520,East Main Street,Rogersville,Hawkins County,Tennessee,United States,37857,36.420551,-82.98602799999999,false
 3705 W. 6th Avenue,Pine Bluff,AR,71601,"",3705,West 6th Avenue,Pine Bluff,Jefferson County,Arkansas,United States,71601,34.2241595,-92.0419524,false
 103 N. Washington,Lindsborg,KS,67456,"",103,North Washington Street,Lindsborg,McPherson County,Kansas,United States,67456,38.5737406,-97.6781182,true
 511 S. Franklin St.,Greenville,MI,48838,"",511,South Franklin Street,Greenville,Montcalm County,Michigan,United States,48838,43.17583279999999,-85.255291,false
 136 Sachem Street,Norwich,CT,6360,"",136,Sachem Street,Norwich,New London County,Connecticut,United States,06360,41.53564129999999,-72.08965859999999,true
 9422 Florida Boulevard,Walker,LA,70785,"",9422,Florida Boulevard,Walker,Livingston Parish,Louisiana,United States,70785,30.4851426,-90.88565419999999,false
 1100 N. Black Horse Pike,Runnemede,NJ,8078,"",1100,North Black Horse Pike,Runnemede,Camden County,New Jersey,United States,08078,39.858691,-75.0760993,true
 61 Grape St,Chicopee,MA,1013,"",61,Grape Street,Chicopee,Hampden County,Massachusetts,United States,01013,42.1477053,-72.6035445,true
 421 High St,Medford,MA,2155,"",421,High Street,Medford,Middlesex County,Massachusetts,United States,02155,42.4213661,-71.13046299999999,true
 308 Lindsey Street,Reidsville,NC,27320,"",308,Lindsey Street,Reidsville,Rockingham County,North Carolina,United States,27320,36.3594561,-79.6669507,false
 1106 Highway 33 South,New Tazewell,TN,37825,"",1106,Highway 33,New Tazewell,Claiborne County,Tennessee,United States,37825,36.4265797,-83.6287747,true
 43 Kirkham Avenue,East Haven,CT,6512,"",43,Kirkham Avenue,East Haven,New Haven County,Connecticut,United States,06512,41.2778152,-72.8734589,true
 100 Washington Street,Weymouth,MA,2188,"",100,Washington Street,Weymouth,Norfolk County,Massachusetts,United States,02188,42.2186698,-70.9662992,true
 579 Grove Street,Irvington,NJ,7111,"",579,Grove Street,Irvington,Essex County,New Jersey,United States,07111,40.737706,-74.214479,true
 405 Center Street,Dowagiac,MI,49047,"",405,Center Street,Dowagiac,Cass County,Michigan,United States,49047,41.9868997,-86.11165749999999,false
 114 S. Bradley St,Mount Pleasant,MI,48858,"",114,South Bradley Street,Mount Pleasant,Isabella County,Michigan,United States,48858,43.6038919,-84.7987361,false
 207 Bell Street,Enfield,NC,27823,"",207,Bell Street,Enfield,Halifax County,North Carolina,United States,27823,36.1781313,-77.6659919,false
 241 Rose Hill Avenue,Versailles,KY,40383,"",241,Rose Hill Avenue,Versailles,Woodford County,Kentucky,United States,40383,38.0522604,-84.73449289999999,false
 3000 Versailles Road,Frankfort,KY,40601,"",3000,Versailles Road,Frankfort,Woodford County,Kentucky,United States,40601,38.1599183,-84.804412,false
 142 Commerce Street,Hawkinsville,GA,31036,"",142,Commerce Street,Hawkinsville,Pulaski County,Georgia,United States,31036,32.2829942,-83.4690797,false
 4373 Atlanta Hwy,Hiram,GA,30141,"",4373,Atlanta Highway,Hiram,Paulding County,Georgia,United States,30141,33.9036123,-84.77092619999999,false
 923 Indiana Street,Kannapolis,NC,28083,"",923,Indiana Street,Kannapolis,Cabarrus County,North Carolina,United States,28083,35.472394,-80.60745299999999,false
 305 E. Main Street,Tishomingo,OK,73460,"",305,East Main Street,Tishomingo,Johnston County,Oklahoma,United States,73460,34.2336799,-96.6747324,false
 238 N. 1st Street,Osborne,KS,67473,"",238,North 1st Street,Osborne,Osborne County,Kansas,United States,67473,39.4409685,-98.6946825,false
 601 E. Brannon Road,Nicholasville,KY,40356,"",601,East Brannon Road,Nicholasville,Jessamine County,Kentucky,United States,40356,37.9534944,-84.5237002,false
 727 North Patterson Avenue,Winston-Salem,NC,27101,"",727,Patterson Avenue,Winston-Salem,Forsyth County,North Carolina,United States,27101,36.1033957,-80.2409681,true
 302 Main Street,Toronto,OH,43964,"",302,Main Street,Toronto,Jefferson County,Ohio,United States,43964,40.4646242,-80.6003771,false
