orig_address,orig_city,orig_state,orig_country,subpremise,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code,lat,lng,partial_match
 309 N. 2nd,Baldwyn,MS,38824,"",309,North 2nd Street,Baldwyn,Prentiss County,Mississippi,United States,38824,34.511428,-88.63303259999999,true
 501 W. Washington Street,Hartford City,IN,47348,"",501,West Washington Street,Hartford City,Blackford County,Indiana,United States,47348,40.450832,-85.3725259,false
 501 N Saginaw St,Durand,MI,48429,"",501,North Saginaw Street,Durand,Shiawassee County,Michigan,United States,48429,42.9155551,-83.9850867,false
 203 E. First North,Laingsburg,MI,48848,"",203,East 1st North Street,Laingsburg,Shiawassee County,Michigan,United States,48848,42.8927248,-84.3501886,true
 214 S. Main St,Perry,MI,48872,"",214,South Main Street,Perry,Shiawassee County,Michigan,United States,48872,42.8232689,-84.2193197,false
 302 W. Corunna Ave,Corunna,MI,48817,"",302,West Corunna Avenue,Corunna,Shiawassee County,Michigan,United States,48817,42.9819316,-84.1207041,false
 520 West Main Street,Owosso,MI,48867,"",520,West Main Street,Owosso,Shiawassee County,Michigan,United States,48867,42.9979366,-84.177649,false
 703 Virginia Avenue,Clarksville,VA ,23927,"",703,Virginia Avenue,Clarksville,Mecklenburg County,Virginia,United States,23927,36.621752,-78.56029810000001,false
 142 E. Center Street,Manchester,CT,6040,"",142,East Center Street,Manchester,Hartford County,Connecticut,United States,06040,41.7763674,-72.51743239999999,true
 234 Hampton Street,McDonough,GA,30253,"",234,Hampton Street,McDonough,Henry County,Georgia,United States,30253,33.4407546,-84.1551738,false
 163 North Avenue,Jonesboro,GA,30236,"",163,North Avenue,Jonesboro,Clayton County,Georgia,United States,30236,33.5310789,-84.3609828,false
 301 North Main Street,Leitchfield,KY,42754,"",301,North Main Street,Leitchfield,Grayson County,Kentucky,United States,42754,37.4830267,-86.29293969999999,false
 703 S. Theobald,Greenville,MS,38701,"",703,South Theobald Street,Greenville,Washington County,Mississippi,United States,38701,33.401485,-91.064154,true
 211 Washington Street,Millsboro,DE,19966,"",211,Washington Street,Millsboro,Sussex County,Delaware,United States,19966,38.5885412,-75.2940915,false
 28 E. Oglethorpe Street,Ellaville,GA,31806,"",28,Oglethorpe Street,Ellaville,Schley County,Georgia,United States,31806,32.2378532,-84.3081174,true
 2373 Elizabethtown Rd,Leitchfield,KY,42754,"",2373,Elizabethtown Road,Leitchfield,Grayson County,Kentucky,United States,42754,37.4889083,-86.2580196,false
 1208 Main,Perry,GA,31069,"",1208,Main Street,Perry,Houston County,Georgia,United States,31069,32.4590869,-83.727077,true
 306 East Franklin Street,Rockingham,NC,28379,"",306,East Franklin Street,Rockingham,Richmond County,North Carolina,United States,28379,34.938179,-79.77146499999999,false
" 100 Cheraw Road, Hwy 177 South",Hamlet,NC,28345,"",177,Old Cheraw Road,Hamlet,Richmond County,North Carolina,United States,28345,34.8799545,-79.68001199999999,true
 322 N. Dooly St.,Montezuma,GA,31063,"",322,North Dooly Street,Montezuma,Macon County,Georgia,United States,31063,32.3045763,-84.027554,false
 310 Courtland Drive,Sanford,NC,27330,"",310,Courtland Drive,Sanford,Lee County,North Carolina,United States,27330,35.4661742,-79.1641116,false
 405 Sharp Springs Road,Winchester,TN,37398,"",405,Sharp Springs Road,Winchester,Franklin County,Tennessee,United States,37398,35.1942198,-86.10923679999999,false
 1052 Dr Deryl Hart Road,Buena Vista,GA,31803,"",1052,Doctor Deryl Hart Road,Buena Vista,Marion County,Georgia,United States,31803,32.3473297,-84.4822738,true
 123 Front St,Seaford,DE,19973,"",123,North Front Street,Seaford,Sussex County,Delaware,United States,19973,38.643179,-75.60861299999999,true
 200 South First,Madill,OK,73446,"",200,South 1st Street,Madill,Marshall County,Oklahoma,United States,73446,34.0888559,-96.77156389999999,true
 East Hwy 70,Kingston,OK,73439,"","",East Highway 70,Kingston,Marshall County,Oklahoma,United States,73439,33.9976582,-96.7068584,false
 650 Highway 15 North,Jackson,KY,41339,"",650,Highway 15,Jackson,Breathitt County,Kentucky,United States,41339,37.5584335,-83.3730367,true
 1414 Third Street,Tillamook,OR,97141,"",1414,3rd Street,Tillamook,Tillamook County,Oregon,United States,97141,45.4563361,-123.849563,false
 16 N. Buckeye,Iola,KS,66749,"",16,North Buckeye Street,Iola,Allen County,Kansas,United States,66749,37.9228118,-95.40131629999999,true
 511 South Church Street,Ripley,WV,25271,"",511,South Church Street,Ripley,Jackson County,West Virginia,United States,25271,38.8092908,-81.7024101,true
 106 S. Shelby St,Salem,IN,47167,"",106,South Shelby Street,Salem,Washington County,Indiana,United States,47167,38.6049342,-86.1068449,false
 630 Locust,Bristol,TN,37620,"",630,Locust Street,Bristol,Sullivan County,Tennessee,United States,37620,36.59048200000001,-82.18497099999999,true
 1718 W. Third Ave,Williamson,WV,25661,"",1718,West 3rd Avenue,Williamson,Mingo County,West Virginia,United States,25661,37.6730259,-82.2920977,false
 102 S. Indiana,Danville, IN,46122,"",102,South Indiana Street,Danville,Hendricks County,Indiana,United States,46122,39.7596937,-86.522932,true
 1144 W Main Street,Shelbyville,KY,40065,"",1144,Main Street,Shelbyville,Shelby County,Kentucky,United States,40065,38.211563,-85.227964,true
 306 W. Main,Independence,KS,67301,"",306,West Main Street,Independence,Montgomery County,Kansas,United States,67301,37.2235873,-95.7099554,true
 200 S. Tracy Street,Clearwater,KS,67026,"",200,Tracy Avenue,Clearwater,Sedgwick County,Kansas,United States,67026,37.502553,-97.50558199999999,true
 112 Broad Street,Riverton,NJ,8077,"",112,Broad Street,Riverton,Burlington County,New Jersey,United States,08077,40.0080973,-75.0152169,true
 19557 Hwy 80 E,Shorter,AL,36075,"",19557,U.S. 80,Shorter,Macon County,Alabama,United States,36075,32.3798072,-85.9930984,true
 1777 3rd. Ave,Stayton,OR,97383,"",1777,3rd Avenue,Stayton,Marion County,Oregon,United States,97383,44.811752,-122.7920165,true
 220 S. 134th Street,Tacoma,WA ,98444,"",220,134th Street South,Tacoma,Pierce County,Washington,United States,98444,47.13514869999999,-122.4358111,true
 451 Cemetery Rd,Buckley,WA,98321,"",451,Cemetery Road,Buckley,Pierce County,Washington,United States,98321,47.167848,-122.025313,false
 104 West 5th Street,Carlisle,AR,72024,"",104,West 5th Street,Carlisle,Lonoke County,Arkansas,United States,72024,34.7866429,-91.7474538,true
 207 N. West Street,Angola, IN,46703,"",207,North West Street,Angola,Steuben County,Indiana,United States,46703,41.6360906,-85.0018961,false
" 309 4th Avenue, NW",Mandan,ND,58554,"",309,4th Avenue Northwest,Mandan,Morton County,North Dakota,United States,58554,46.8285092,-100.8967951,false
 151W. George Street,Batesville, IN ,47006,"",151,West George Street,Batesville,Ripley County,Indiana,United States,47006,39.2984611,-85.2251608,true
 320 N. Egan,Madison,SD,57042,"",320,Egan Avenue North,Madison,Lake County,South Dakota,United States,57042,44.0079645,-97.1134479,true
 144 Salem Street,Malden,MA,2148,"",144,Salem Street,Malden,Middlesex County,Massachusetts,United States,02148,42.42922410000001,-71.061915,true
 7210 Park Avenue,Allen Park,MI,48101,"",7210,Park Avenue,Allen Park,Wayne County,Michigan,United States,48101,42.2547104,-83.2093663,false
 140 E. Vincennes,Linton,IN,47441,"",140,East Vincennes Street,Linton,Greene County,Indiana,United States,47441,39.03435,-87.164093,true
 202 South 4th Street,Arkadelphia,AR,71923,"",202,South 4th Street,Arkadelphia,Clark County,Arkansas,United States,71923,34.120064,-93.05086,false
 10300 Richmond Road,Warsaw,VA,22572,"",10300,Richmond Road,Warsaw,Richmond County,Virginia,United States,22572,37.9488973,-76.6993367,false
 17546 Kings Highway,Montross,VA,22520,"",17546,Kings Highway,Montross,Westmoreland County,Virginia,United States,22520,38.0914575,-76.7978104,false
 201 W Lampkin St,Starkville,MS,39759,"",201,West Lampkin Street,Starkville,Oktibbeha County,Mississippi,United States,39759,33.4623324,-88.8186958,false
 3998 2nd Avenue,Maben,MS,39750,"",3998,2nd Avenue,Maben,Oktibbeha County,Mississippi,United States,39750,33.5600349,-89.081786,false
 970 McDonald Street,Waycross,GA,31501,"",970,McDonald Street,Waycross,Ware County,Georgia,United States,31501,31.2197244,-82.3615817,false
 502 Cross Street,Albany,KY,42602,"",502,Cross Street,Albany,Clinton County,Kentucky,United States,42602,36.694162,-85.1346154,false
 327 N. MacLeod Avenue,Arlington,WA,98223,"",327,North Macleod Avenue,Arlington,Snohomish County,Washington,United States,98223,48.19522300000001,-122.124744,false
 220 East,Pittsfield,MA,1201,"",220,East Street,Pittsfield,Berkshire County,Massachusetts,United States,01201,42.4471909,-73.249444,true
 3715 Asheville Hwy,Canton,NC,28716,"",3715,Asheville Highway,Canton,Haywood County,North Carolina,United States,28716,35.53394,-82.8313747,false
 340 MS Highway 35 North,Batesville,MS,38606,"",340,Highway 35 North,Batesville,Panola County,Mississippi,United States,38606,34.341326,-89.92739399999999,false
 296 N Main St,Waynesville,NC,28786,"",296,North Main Street,Waynesville,Haywood County,North Carolina,United States,28786,35.492866,-82.9856719,false
 828 Front Street,Lovingston,VA,22949,"",828,Front Street,Lovingston,Nelson County,Virginia,United States,22949,37.763441,-78.8704518,false
 151 Oakwood Ave SE,Richmond,MN,56368,"",151,Oakwood Avenue Southeast,Richmond,Stearns County,Minnesota,United States,56368,45.4520381,-94.5066786,false
 600 Red Rive Ave S,Cold Spring,MN,56320,"",600,Red River South,Cold Spring,Stearns County,Minnesota,United States,56320,45.4495644,-94.4286191,true
 635 N. Wood Ave,Linden,NJ,7036,"",635,North Wood Avenue,Linden,Union County,New Jersey,United States,07036,40.6342045,-74.25989489999999,true
 23690 Woodward Avenue,Pleasant Ridge,MI,48069,"",23690,Woodward Avenue,Pleasant Ridge,Oakland County,Michigan,United States,48069,42.4686948,-83.1394152,false
 904 Lucas Street,Erwin,NC,28339,"",904,Lucas Street,Erwin,Harnett County,North Carolina,United States,28339,35.327057,-78.661136,false
 1000-19th Avenue S.W,Willmar,MN,56201,"",1000,19th Avenue Southwest,Willmar,Kandiyohi County,Minnesota,United States,56201,45.1034114,-95.05521759999999,false
 2480 Macland Road,Marietta,GA,30064,"",2480,Macland Road,Marietta,Cobb County,Georgia,United States,30064,33.901261,-84.62555499999999,false
 208 West Main St.,Benson,NC,27504,"",208,West Main Street,Benson,Johnston County,North Carolina,United States,27504,35.382972,-78.549971,false
 503 Raleigh Street,Newton Grove,NC,28366,"",503,Raleigh Street,Newton Grove,Sampson County,North Carolina,United States,28366,35.2474484,-78.3624908,false
 226 4th Avenue W,West Fargo,ND,58078,"",226,4th Avenue West,West Fargo,Cass County,North Dakota,United States,58078,46.8731058,-96.9032435,false
 31 6th Ave N,Casselton,ND,58012,"",31,6th Avenue North,Casselton,Cass County,North Dakota,United States,58012,46.901166,-97.21240209999999,false
 17 Merrimon Avenue,Weaverville,NC,28787,"",17,Merrimon Avenue,Weaverville,Buncombe County,North Carolina,United States,28787,35.6955169,-82.562477,false
 662 Savin,West Haven,CT,6516,"",662,Savin Avenue,West Haven,New Haven County,Connecticut,United States,06516,41.270501,-72.95181099999999,true
 103 Jefferson Street,Starkville,MS,39759,"",103,Jefferson Street,Starkville,Oktibbeha County,Mississippi,United States,39759,33.4649361,-88.8164578,false
 3096 Baker Hwy,Huntsville,TN,37756,"",3096,Baker Highway,Huntsville,Scott County,Tennessee,United States,37756,36.411186,-84.487498,false
 716 6th St,Westbrook,MN,56183,"",716,6th Street,Westbrook,Cottonwood County,Minnesota,United States,56183,44.0421212,-95.4347896,false
 112 N. Livermore,Hazen,AR,72064,"",112,North Livermore Street,Hazen,Prairie County,Arkansas,United States,72064,34.7812045,-91.5799424,true
 404 W. DeWitt Henry Drive,Beebe,AR,72012,"",404,West Dewitt Henry Drive,Beebe,White County,Arkansas,United States,72012,35.0817912,-91.8877593,false
 116 Gatun Street,Okolona,MS,38860,"","","",Okolona,Chickasaw County,Mississippi,United States,38860,34.001778,-88.7553293,true
 600 W. Vine Street,Aberdeen,MS,39730,"",600,West Vine Street,Aberdeen,Monroe County,Mississippi,United States,39730,33.8292092,-88.550865,false
 631 South 1st Street,Camp Verde,AZ,86322,"",631,South 1st Street,Camp Verde,Yavapai County,Arizona,United States,86322,34.5596775,-111.8544428,false
 1013 E. Mingus Avenue,Cottonwood,AZ,86326,"",1013,East Mingus Avenue,Cottonwood,Yavapai County,Arizona,United States,86326,34.7390884,-112.0161806,false
 3236 West Huntsville Ave,Springdale,AR,72762,"",3236,West Huntsville Avenue,Springdale,Washington County,Arkansas,United States,72762,36.1896511,-94.165697,false
 1301 Broadway,Bellingham,WA,98225,"",1301,Broadway,Bellingham,Whatcom County,Washington,United States,98225,48.75808,-122.4915461,false
 3060 Depot St.,Utica,MS,39175,"","",Depot Street,Utica,Hinds County,Mississippi,United States,39175,32.1071553,-90.6246876,true
 19068 Hwy 51,Hazlehurst,MS,39083,"",19068,Highway 51,Hazlehurst,Copiah County,Mississippi,United States,39083,31.9153658,-90.3994448,true
 26 S. Thomason St.,Old Fort,NC,28762,"",26,South Thomason Street,Old Fort,McDowell County,North Carolina,United States,28762,35.6307089,-82.177403,false
 215 6th S.W.,Cairo,GA,39828,"",215,6th Street Southwest,Cairo,Grady County,Georgia,United States,39828,30.8753415,-84.21713559999999,true
 731 North Lee Street,Americus,GA,31709,"",731,Lee Street,Americus,Sumter County,Georgia,United States,31709,32.0617634,-84.2286591,true
 325 Drayton Street,Montezuma,GA,31063,"",325,Drayton Street,Montezuma,Macon County,Georgia,United States,31063,32.3050229,-84.0287716,false
 12725 SW Millikan Way Suite 300,Beaverton,OR,97005,300,12725,Southwest Millikan Way,Beaverton,Washington County,Oregon,United States,97005,45.49010000000001,-122.8079449,true
 106 Lewis Street,Tabor City,NC,28463,"",106,South Lewis Street,Tabor City,Columbus County,North Carolina,United States,28463,34.148184,-78.8795109,true
 5695 Valley Rd,Fairfield,AL,35064,"",5695,Valley Road,Fairfield,Jefferson County,Alabama,United States,35064,33.4801626,-86.9228878,false
 8505 U.S. 31,Calera,AL,35040,"",8505,U.S. 31,Calera,Shelby County,Alabama,United States,35040,33.0993157,-86.7531425,false
 5101 Westbank Exp.,Marrero,LA,70072,"",5101,Westbank Expressway,Marrero,Jefferson Parish,Louisiana,United States,70072,29.8935353,-90.1021363,false
 402 Wildwood Ave,Jackson,MI,49201,"",402,Wildwood Avenue,Jackson,Jackson County,Michigan,United States,49201,42.2478947,-84.41384719999999,false
 107 First Street N. E,Sebeka,MN,56477,"",107,1st Street Northeast,Sebeka,Wadena County,Minnesota,United States,56477,46.6310051,-95.0892327,false
 12746 Nettles Dr,Newport News,VA,23606,"",12746,Nettles Drive,Newport News,"",Virginia,United States,23606,37.0893139,-76.4952982,false
 1302 Oklahoma,Alva,OK,73717,"","",East Oklahoma Boulevard,Alva,Woods County,Oklahoma,United States,73717,36.7973842,-98.6562852,true
 11405 Browns Bridge Road,Covington,GA,30014,"",11405,Brown Bridge Road,Covington,"",Georgia,United States,30014,33.3938377,-83.8322434,true
 1130 N. Winstead Avenue,Rocky Mount,NC,27804,"",1130,North Winstead Avenue,Rocky Mount,Nash County,North Carolina,United States,27804,35.9833553,-77.83992420000001,false
 202 N 3rd St,"Tecumseh,",NE,68450,"",202,North 3rd Street,Tecumseh,Johnson County,Nebraska,United States,68450,40.3695646,-96.1957508,false
 919 G Street,Pawnee City,NE,68420,"",919,G Street,Pawnee City,Pawnee County,Nebraska,United States,68420,40.1119341,-96.1532489,false
 207 Nemaha Street,"Humboldt,",NE,68376,"",207,Nemaha Street,Humboldt,Richardson County,Nebraska,United States,68376,40.1620505,-95.94489639999999,false
 1503 South Park Avenue,Alexandria, IN,46001,"",1503,South Park Avenue,Alexandria,Madison County,Indiana,United States,46001,40.248207,-85.67112499999999,false
 746 N.E. Midway Blvd,Oak Harbor,WA,98277,"",746,Northeast Midway Boulevard,Oak Harbor,Island County,Washington,United States,98277,48.304281,-122.64248,false
 10451 Hwy 84 East,Thomasville,GA,31757,"",10451,U.S. 84,Thomasville,Thomas County,Georgia,United States,31757,30.8357601,-83.9380225,true
 6210 NW Cache Road,Lawton,OK,73505,"",6210,Northwest Cache Road,Lawton,Comanche County,Oklahoma,United States,73505,34.6230959,-98.468507,false
 403 W Country Club,Elk City,OK,73644,"",403,West Country Club Boulevard,Elk City,Beckham County,Oklahoma,United States,73644,35.421915,-99.4084718,true
 132 Manderson Street,Toomsboro,GA,31090,"",132,Manderson Street,Toomsboro,Wilkinson County,Georgia,United States,31090,32.8214036,-83.0775293,true
 25 N. Kennedy Street,Metter,GA,30439,"",25,North Kennedy Street,Metter,Candler County,Georgia,United States,30439,32.398296,-82.0631949,false
 3 NE 3rd Street,Idabel,OK,74745,"",3,Northeast 3rd Street,Idabel,McCurtain County,Oklahoma,United States,74745,33.8977189,-94.8291519,false
 165 Brooklyn Street,Morrisville,VT,5661,"",165,Brooklyn Street,Morristown,Lamoille County,Vermont,United States,05661,44.5660979,-72.601308,true
 700 Broad Street,Summersville,WV,26651,"",700,Broad Street,Summersville,Nicholas County,West Virginia,United States,26651,38.278821,-80.852486,false
 11 Railroad Avenue,Richwood,WV,26261,"",11,Railroad Avenue,Richwood,Nicholas County,West Virginia,United States,26261,38.2239075,-80.5312132,true
 Little Trail Rd & Route 41,Craigsville,WV,26205,"","",Little Trail Road,Commerce charter Township,Oakland County,Michigan,United States,48390,42.5487788,-83.453434,false
 1956 Rt 30,Townshend,VT,5353,"",1956,Route 30,Townshend,Windham County,Vermont,United States,05353,43.045124,-72.6664119,true
 315 Hwy 11 S,Poplarville,MS,39470,"",315,Route 11,Poplarville,Pearl River County,Mississippi,United States,39470,30.83892,-89.54256199999999,true
 102 North 1st Street,Lumberton,MS,39455,"",102,North 1st Street,Lumberton,Lamar County,Mississippi,United States,39455,31.0005023,-89.44955159999999,false
 201 5th St. Northwest,Lonsdale,MN,55046,"",201,5th Avenue Northwest,Lonsdale,Rice County,Minnesota,United States,55046,44.481755,-93.434754,true
 20134 Kenwood Trail,Lakeville,MN,55044,"",20134,Kenwood Trail,Lakeville,Dakota County,Minnesota,United States,55044,44.6580503,-93.2559204,false
 901 3rd St,Farmington,MN,55024,"",901,3rd Street,Farmington,Dakota County,Minnesota,United States,55024,44.632879,-93.1449519,false
 12804 Nicollet Ave,Burnsville,MN,55337,"",12804,Nicollet Avenue,Burnsville,Dakota County,Minnesota,United States,55337,44.7709407,-93.27844379999999,false
 3915 Oleander Dr,Wilmington,NC,28403,"",3915,Oleander Drive,Wilmington,New Hanover County,North Carolina,United States,28403,34.2135179,-77.897526,false
 525 South 2nd Street,Chesterton,IN,46304,"",525,South 2nd Street,Chesterton,Porter County,Indiana,United States,46304,41.6059103,-87.0537626,false
 225 West Harper Street,Troy,TN,38260,"",225,West Harper Street,Troy,Obion County,Tennessee,United States,38260,36.33874,-89.165685,false
 136 4th Ave E,Twin Falls,ID,83301,"",136,4th Avenue East,Twin Falls,Twin Falls County,Idaho,United States,83301,42.5572396,-114.4668949,false
 110 S 12th St.,Oakdale,LA,71463,"",110,South 12th Street,Oakdale,Allen Parish,Louisiana,United States,71463,30.8156653,-92.6594312,true
 6324 Masonic Dr,Alexandria,LA,71301,"",6324,Masonic Drive,Alexandria,Rapides Parish,Louisiana,United States,71301,31.2535,-92.4810399,false
 212 Washington Ave,Union City,TN,38261,"",212,West Washington Avenue,Union City,Obion County,Tennessee,United States,38261,36.423207,-89.0587437,true
 241 Bordentown Avenue,South Amboy,NJ,8879,"",241,Bordentown Avenue,South Amboy,Middlesex County,New Jersey,United States,08879,40.4797884,-74.2796955,true
 109 E. Second,Aberdeen,WA,98520,"",109,East 2nd Street,Aberdeen,Grays Harbor County,Washington,United States,98520,46.97667999999999,-123.819827,true
 316 W. Young,Elma,WA,98541,"",316,West Young Street,Elma,Grays Harbor County,Washington,United States,98541,47.0052311,-123.4049787,true
 121 Broadway Ave,Montesano,WA,98563,"",121,West Broadway Avenue,Montesano,Grays Harbor County,Washington,United States,98563,46.98119000000001,-123.601706,true
 245 Hwy 441 South,Demorest,GA,30535,"",245,U.S. 441 Business,Cornelia,Habersham County,Georgia,United States,30531,34.556872,-83.54810200000001,true
 1370 Industrial Blvd,Baldwin,GA,30511,"",1370,Industrial Boulevard,Baldwin,Habersham County,Georgia,United States,30511,34.49777210000001,-83.5459934,false
 312 W. Martin Luther King Drive,Washington,NC,27889,"",312,West Martin Luther King Junior Drive,Washington,Beaufort County,North Carolina,United States,27889,35.547011,-77.0560903,true
 20 Keller Avenue,Rockaway,NJ,7866,"",20,Keller Avenue,Rockaway,Morris County,New Jersey,United States,07866,40.898184,-74.509812,true
 7005 Pocahontas Trail,Williamsburg,VA,23185,"",7005,Pocahontas Trail,Williamsburg,James City County,Virginia,United States,23185,37.2632749,-76.678063,false
 1748 Dale Earnhardt Boulevard,Kannapolis,NC,28083,"",1748,Dale Earnhardt Boulevard,Kannapolis,Cabarrus County,North Carolina,United States,28083,35.480783,-80.614683,false
 120 Rose Lane,Toccoa,GA,30577,"",120,Rose Lane,Toccoa,Stephens County,Georgia,United States,30577,34.5634097,-83.2989893,false
 605 N. Main Street,Sturgis,KY,42459,"",605,North Main Street,Sturgis,Union County,Kentucky,United States,42459,37.5517919,-87.9825184,true
 250 N. Court Street,Morganfield,KY,42437,"",250,North Court Street,Morganfield,Union County,Kentucky,United States,42437,37.6876219,-87.9139691,false
 30 N. Dixie,Cookeville,TN,38501,"",30,North Dixie Avenue,Cookeville,Putnam County,Tennessee,United States,38501,36.163836,-85.502006,true
 228 Third Avenue South,Baxter,TN,38544,"",228,3rd Avenue South,Baxter,Putnam County,Tennessee,United States,38544,36.152557,-85.63866,false
 1336 Park Avenue,Lynchburg,VA,24501,"",1336,Park Avenue,Lynchburg,"",Virginia,United States,24501,37.4101376,-79.153448,false
 3966 S. Amerst Hw,Madison Heights, VA,24572,"",3966,South Amherst Highway,Madison Heights,Amherst County,Virginia,United States,24572,37.4703779,-79.1207896,true
 7404 Timberlake Rd,Lynchburg,VA,24502,"",7404,Timberlake Road,Lynchburg,"",Virginia,United States,24502,37.3582399,-79.2158626,false
 6 High Street,Ipswich,MA,1938,"",6,High Street,Ipswich,Essex County,Massachusetts,United States,01938,42.6834585,-70.8364272,true
 8704 Seneca Trail South,Lindside,WV,24951,"",8704,Seneca Trail South,Lindside,Monroe County,West Virginia,United States,24951,37.453754,-80.669342,false
 Rt 52 Main Street,Northfork,WV,24868,"","",Main Street,Northfork,McDowell County,West Virginia,United States,24868,37.416635,-81.4374,true
 402 Park St,Hackensack,NJ,7601,"",402,Park Street,Hackensack,Bergen County,New Jersey,United States,07601,40.891364,-74.043477,true
 655 Central,Dove,NH,3820,"",655,Central Avenue,Dover,Strafford County,New Hampshire,United States,03820,43.20582900000001,-70.87505159999999,true
 1111 4th Street Northeast,Watertown,SD,57201,"",1111,4th Street Northeast,Watertown,Codington County,South Dakota,United States,57201,44.9148229,-97.107248,false
 24120 Railroad,"Plaquemine,",LA,70764,"",24120,Railroad Avenue,Plaquemine,Iberville Parish,Louisiana,United States,70764,30.2835825,-91.2330363,true
 440 S. Alexander,Port Allen,LA,70767,"",440,South Alexander Avenue,Port Allen,West Baton Rouge Parish,Louisiana,United States,70767,30.4491473,-91.2095722,true
 2551 Boston Road,Wilbraham,MA,1095,"",2551,Boston Road,Wilbraham,Hampden County,Massachusetts,United States,01095,42.1481121,-72.4388103,true
 615 Main St,Warren,RI,2885,"",615,Main Street,Warren,Bristol County,Rhode Island,United States,02885,41.7266535,-71.2819284,true
 106 Jordan,Carthage,MS,39051,"",106,Jordan Road,Carthage,Leake County,Mississippi,United States,39051,32.7367266,-89.53097,true
 2226 Jackson Avenue,Point Pleasant,WV,25550,"",2226,Jackson Avenue,Point Pleasant,Mason County,West Virginia,United States,25550,38.8647291,-82.12630329999999,false
 Box 216,Hillsboro,ND,58045,"","","",Hillsboro,Traill County,North Dakota,United States,58045,47.4038683,-97.0620308,true
 207 S. Bragg Street,Perryville,KY,40468,"",207,South Bragg Street,Perryville,Boyle County,Kentucky,United States,40468,37.6503804,-84.94970049999999,false
 202 East 10th Street,Scotland Neck,NC,27874,"",202,East 10th Street,Scotland Neck,Halifax County,North Carolina,United States,27874,36.1283346,-77.42074459999999,false
 921 S Main Street,Rich Square,NC,27869,"",921,South Main Street,Rich Square,Northampton County,North Carolina,United States,27869,36.2638559,-77.29066300000001,false
 816 S Commerce Street,Aulander,NC,27805,"",816,South Commerce Street,Aulander,Bertie County,North Carolina,United States,27805,36.220317,-77.109222,false
 596 Belgrove Drive,Kearny,NJ,7032,"",596,Belgrove Drive,Kearny,Hudson County,New Jersey,United States,07032,40.7709337,-74.1486603,true
 19814 Big Lane,Midland,MD,21542,"",19814,Big Lane Avenue,Midland,Allegany County,Maryland,United States,21542,39.589065,-78.949392,true
 8 East Main Street,Lonaconing,MD,21539,"",8,East Main Street,Lonaconing,Allegany County,Maryland,United States,21539,39.567642,-78.97888999999999,false
 1909 Richardson Drive,Reidsville,NC,27320,"",1909,Richardson Drive,Reidsville,Rockingham County,North Carolina,United States,27320,36.338563,-79.682828,false
 403 W. Stillwell Avenue,De Queen,AR,71832,"",403,West Stillwell Avenue,De Queen,Sevier County,Arkansas,United States,71832,34.03644,-94.3416354,false
 110 East 4th Street,Dierks,AR,71833,"",110,East 4th Street,Dierks,Howard County,Arkansas,United States,71833,34.120059,-94.015947,false
 119 Pine,Cape Charles,VA,23310,"",119,T-1101,Cape Charles,Northampton County,Virginia,United States,23310,37.2684377,-76.0200395,true
 100 Branchview Dr,Concord,NC,28026,"",100,Branchview Drive Northeast,Concord,Cabarrus County,North Carolina,United States,28025,35.422095,-80.573729,true
 220 N. Main,Okeene,OK,73763,"",220,North Main Street,Okeene,Blaine County,Oklahoma,United States,73763,36.117953,-98.3174949,true
 208 N Noble Ave,Watonga,OK,73772,"",208,North Noble Avenue,Watonga,Blaine County,Oklahoma,United States,73772,35.845767,-98.412723,false
 164 Pleasant Street,Laconia,NH,3246,"",164,Pleasant Street,Laconia,Belknap County,New Hampshire,United States,03246,43.5290028,-71.47520920000001,true
 210 E. Green Drive,Mitchell,SD,57301,"",210,East Green Drive,Mitchell,Davison County,South Dakota,United States,57301,43.7260662,-98.023552,false
 233 Northbound Gratiot,Mount Clemens,MI,48043,"",233,Northbound Gratiot Avenue,Mount Clemens,Macomb County,Michigan,United States,48043,42.6045212,-82.87439169999999,true
 584 West Main Street,Tilton,NH,3276,"",584,West Main Street,Tilton,Belknap County,New Hampshire,United States,03276,43.4460781,-71.61662439999999,true
 854 Avenue C,Bayonne,NJ,7002,"",854,Avenue C,Bayonne,Hudson County,New Jersey,United States,07002,40.6767562,-74.11033979999999,true
 222 North Lafayette Street,Beaver Dam,KY,42320,"",222,North Lafayette Street,Beaver Dam,Ohio County,Kentucky,United States,42320,37.4034018,-86.8793937,false
 224 S. Main,Franklin,VA,23851,"",224,South Main Street,Franklin,"",Virginia,United States,23851,36.6760598,-76.9210884,true
 137 Harrison Street,Petersburg,VA,23803,"",137,Harrison Street,Petersburg,"",Virginia,United States,23803,37.2247005,-77.40372479999999,false
 389 Washington Avenue,Chelsea,MA,2150,"",389,Washington Avenue,Chelsea,Suffolk County,Massachusetts,United States,02150,42.405457,-71.03491,true
 226 Crocker Blvd,Mount Clemens,MI,48043,"",226,Crocker Boulevard,Mount Clemens,Macomb County,Michigan,United States,48043,42.588513,-82.86929599999999,false
 2591 Main Street,Stratford,CT,6615,"",2591,Main Street,Stratford,Fairfield County,Connecticut,United States,06615,41.1954302,-73.1324441,true
 260 Main Street,Clermont,GA,30527,"",260,Main Street,Clermont,Hall County,Georgia,United States,30527,34.4735074,-83.7733688,false
