Name,seo-url,Address,City,State,Zip,Phone,Basic Services,Embalming,Dressing & Casketing,Facilities & Staff for Visitation,Facilities & Staff for Chapel Service,Transfer Vehicle to Funeral Home,Hearse,UtilityFlower Vehicle,Lead Car,Direct Cremation with Memorial Service ,Crematory Fee,Direct Cremation
Ware-SmithWoolever Funeral Directors,ware-smithwoolever-funeral-directors,1200 W. Wheeler Road,Midland,MI,48640,989-631-2292,1625,680,245,695,695,355,245,110,Included,2570,255,1875
Wareham Village Funeral Home,wareham-village-funeral-home,5 Center Street,Wareham,MA,2571,508-295-4748,1900,825,250,150,775,390,395,275,Not Available,2340,Included,1665
Warfield Chapel,warfield-chapel,Route 42,Warfield,KY,41267,606-298-3501,3995,650,Included,300,300,280,280,125,Not Available,1995,Included,1695
Waring-Sullivan Home of Memorial Tribute at Birchcrest,waring-sullivan-home-of-memorial-tribute-at-birchcrest,189 Gardners Neck Road,Swanse,MA,2777,508-676-1933,3695,1095,295,895,895,695,595,195,195,3580,280,2995
Waring-Sullivan Home of Memorial Tribute at Cherry Place,waring-sullivan-home-of-memorial-tribute-at-cherry-place,550 Locust,Fall River,MA,2720,508-672-2391,3695,1095,295,895,895,695,595,195,195,3580,280,2995
Waring-Sullivan Home of Memorial Tribute at Dartmouth,waring-sullivan-home-of-memorial-tribute-at-dartmouth,230 Russell Mills Rd,South Dartmouth,MA,2748,508-993-0440,3695,1095,295,895,895,695,595,195,195,3745,280,2850
Waring-Sullivan Home of Memorial Tribute at Fairlawn Mortuary,waring-sullivan-home-of-memorial-tribute-at-fairlawn-mortuary,180 Washington Street,Fairhaven,MA,2719,508-999-5100,3695,1095,295,895,895,695,595,195,195,3745,280,2850
Waring-Sullivan Home of Memorial Tribute at Rose E. Sullivan,waring-sullivan-home-of-memorial-tribute-at-rose-e-sullivan,866 County Street (Route 138,Somerset,MA,2726,506-676-1933,3695,1095,295,895,895,695,595,195,195,3580,280,2995
Warner - Wozniak Funeral Service,warner-wozniak-funeral-service,80 Midland Avenue,Wallington,NJ,7057,973-779-4664,2780,995,475,550,695,495,510,475,Not Available,5120,230,4425
Warren-Brown Funeral Home,warren-brown-funeral-home,80 E. Washington Street,Nelsonville,OH,45764,740-753-1375,2049,605,90,405,490,210,230,210,Included,1892,Included,1402
Warren F. Toler Funeral Home,warren-f-toler-funeral-home,99 Cedar Grove Road,Irvine,KY,40336,606-723-2183,2200,500,75,450,450,200,200,50,50,2450,Included,2000
Warren Hills Memorial Home,warren-hills-memorial-home,234 W. Washington,Washington,NJ,7882,908-689-0119,2195,725,350,425,490,325,362,175,Included,2685,275,2195
Warren Hills Memorial Home,warren-hills-memorial-home-01,234 W. Washington Avenue,Washington,NJ,7882,908-689-0119,2195,725,350,425,490,325,362,175,Included,2685,275,2195
Warren Meadows Funeral Home,warren-meadows-funeral-home,355 S. Capitol,Many,LA,71449,318-256-3471,2525,695,150,190,230,275,200,100,Not Available,2630,Included,2400
Warren Meadows Funeral Home,warren-meadows-funeral-home-01,1008 Obrie,"Zwolle,",LA,71486,318-256-3471,2525,695,150,190,230,275,200,100,Not Available,2630,Included,2400
WarrenMcElwain Mortuary & Cremation Services,warrenmcelwain-mortuary-cremation-services,120 W. 13th Street,Lawrence,KS,66044,785-843-1120,3420,760,395,365,495,385,410,Not Available,Not Available,2925,Included,2430
WarrenMcElwain Mortuary & Cremation Services,warrenmcelwain-mortuary-cremation-services-01,1003 John L. Williams Dr.,Eudora,KS,66025,785-542-3030,3420,760,395,365,495,385,410,Not Available,Not Available,2925,Included,2430
WarrickKummer-Rettig Funeral Home,warrickkummer-rettig-funeral-home,28 North Main Street,Columbiana,OH,44408,330-482-3621,2380,895,355,555,545,455,395,150,120,2920,Included,2375
Washburn & Dorsey Funeral Home,washburn-dorsey-funeral-home,359 East Church Street,Bostic,NC,28018,828-248-1234,2375,600,Included,350,350,175,175,Included,Included,2095,Included,1895
WashburnMcReavy Eden Prairie Chapel,washburnmcreavy-eden-prairie-chapel,7625 Mitchell Rd,Eden Prairie,MN,55344,952-975-0400,2685,590,275,395,585,395,395,155,Included,2180,Included,1595
WashburnMcReavy Funeral Chapels Strobeck Johnson Chapel,washburnmcreavy-funeral-chapels-strobeck-johnson-chapel,1400 Mainstreet,Hopkins,MN,55343,952-938-9020,2685,590,275,395,585,395,395,155,Included,2180,Included,1595
Washington Funeral Home,washington-funeral-home,714 Second Street,Tylertown,MS,39667,601-876-3634,1200,600,200,500,500,200,200,100,Not Available,2000,Included,1500
Washington Memorial Funeral Home,washington-memorial-funeral-home,4 Washington Avenue,North Haven,CT,6473,203-239-6000,1975,900,250,300,500,350,300,150,185,3975,Included,3175
Wass Home For Funerals,wass-home-for-funerals,740 Garfield,"Centerville,",SD,57014,605-563-2258,2225,825,425,475,575,300,220,150,150,3550,Included,3075
Wass Home For Funerals,wass-home-for-funerals-01,301 N. Third Street,Beresford,SD,57004,605-763-2232,2225,825,425,475,575,300,220,150,150,3550,Included,3075
Wass Home For Funerals,wass-home-for-funerals-02,410 Broad St,"Alcester,",SD,57001,605-934-2661,2225,825,425,475,575,300,220,150,150,3550,Included,3075
Wasson Funeral Home,wasson-funeral-home,441 W. Hwy 412,Siloam Springs,AR,72761,479-524-5131,2195,590,295,340,550,250,250,75,Not Available,2740,Included,2190
Waters Funeral Chapel,waters-funeral-chapel,411 Water Street,Summersville,WV,26651,304-872-2111,1575,575,150,300,300,125,150,75,Not Available,2400,Included,2000
Waters Funeral Home,waters-funeral-home,50 South Main Street,Concord,NH,3301,603-225-5707,1895,795,295,359,359,495,395,295,Included,3944,Included,3585
Waters Funeral Home,waters-funeral-home-01,309 N. 2nd,Baldwyn,MS,38824,662-365-8511,1895,595,125,350,350,175,395,100,Not Available,2845,Included,2495
Waters Funeral Home,waters-funeral-home-02,501 W. Washington Street ,Hartford City,IN,47348,765-348-0710,1695,995,295,400,695,295,250,250,Not Available ,3370,Included,2675
Watkins Brothers Funeral HomeDurand Chapel,watkins-brothers-funeral-homedurand-chapel,501 N Saginaw St,Durand,MI,48429,989-288-3106,2390,650,200,600,600,250,250,200,Not Available,2495,Included,1895
Watkins Brothers Funeral HomeLaingsburg Chapel,watkins-brothers-funeral-homelaingsburg-chapel,203 E. First North,Laingsburg,MI,48848,517-651-5415,2390,650,200,600,600,250,250,200,Not Available,2495,Included,1895
Watkins Brothers Funeral HomePerry Chapel,watkins-brothers-funeral-homeperry-chapel,214 S. Main St,Perry,MI,48872,517-625-3177,2390,650,200,600,600,250,250,200,Not Available,2495,Included,Petoskey
Watkins Brothers Funeral HomesCorunna Chapel,watkins-brothers-funeral-homescorunna-chapel,302 W. Corunna Ave,Corunna,MI,48817,989-743-3456,2390,650,200,600,600,250,250,200,Not Available,2495,Included,1895
Watkins Brothers Funeral HomesJennings-Lyons,watkins-brothers-funeral-homesjennings-lyons,520 West Main Street,Owosso,MI,48867,989-725-7171,2390,650,200,600,600,250,250,200,Not Available,2495,Included,1895
Watkins-CooperLyon FuneralHome,watkins-cooperlyon-funeralhome,703 Virginia Avenue,Clarksville,VA ,23927,434-374-8258,2195,795,195,495,595,325,275,150,95,3495,Included,2900
Watkins Funeral Home,watkins-funeral-home,142 E. Center Street,Manchester,CT,6040,860-646-5310,2570,760,245,420,685,425,490,190,Not Available,4200,330,3615
Watkins Funeral Home Inc,watkins-funeral-home-inc,234 Hampton Street,McDonough,GA,30253,678-884-5177,1700,1000,200,400,400,300,400,300,Included,2800,Included,995
Watkins Funeral Home Inc.,watkins-funeral-home-inc-01,163 North Avenue,Jonesboro,GA,30236,678-479-0806,1510,890,200,300,400,300,400,Included,Included,2000,Included,995
Watkins-Oller Funeral Home,watkins-oller-funeral-home,301 North Main Street,Leitchfield,KY,42754,270-259-4115,2035,940,335,550,475,285,285,110,85,2695,Included,2495
Watson-Edwards & Evans Funeral Home,watson-edwards-evans-funeral-home,703 S. Theobald,Greenville,MS,38701,662-378-2542,695,798,275,200,400,350,300,75,Not Available,2350,Included,1950
Watson Funeral Home,watson-funeral-home,211 Washington Street,Millsboro,DE,19966,302-934-7842,2635,895,295,525,595,455,400,195,125,3415,Included,2820
Watson-Giddens Funeral Home,watson-giddens-funeral-home,28 E. Oglethorpe Street,Ellaville,GA,31806,229-937-2402,1995,875,150,375,650,275,275,130,Included,2645,Included,2295
Watson-Hunt Funeral Director,watson-hunt-funeral-director,2373 Elizabethtown Rd,Leitchfield,KY,42754,270-259-4566,1600,975,250,475,475,225,250,55,Not Available,1970,Included,1495
Watson-Hunt Funeral Home,watson-hunt-funeral-home,1208 Main,Perry,GA,31069,478-987-2423,2255,1025,150,285,515,290,325,95,Included,3420,1,2905
Watson-King Funeral Home,watson-king-funeral-home,306 East Franklin Street,Rockingham,NC,28379,910-895-4011,2545,750,180,1,455,300,275,90,Not Available,2915,400,1965
Watson-King Funeral Home-Hamlet Chapel,watson-king-funeral-home-hamlet-chapel,"100 Cheraw Road, Hwy 177 South",Hamlet,NC,28345,910-582-4011,2545,750,180,1,455,300,275,90,Not Available,2915,400,1965
Watson & Mathews Funeral Home,watson-mathews-funeral-home,322 N. Dooly St.,Montezuma,GA,31063,478-472-8191,2370,700,150,450,625,225,195,180,95,3250,Included,2675
"Watson Memorial - Cunningham & Sons Mortuary, Inc",watson-memorial-cunningham-sons-mortuary-inc,310 Courtland Drive,Sanford,NC,27330,919-776-4119,1500,695,50,300,200,275,275,150,Included,1700,Included,1500
Watson-North Funeral Home & Memorial Park ,watson-north-funeral-home-memorial-park,405 Sharp Springs Road,Winchester,TN,37398,931-967-2345,1015,570,195,395,395,195,225,100,Not Available,2030,Included,1635
Watson-Tante Funeral Home,watson-tante-funeral-home,1052 Dr Deryl Hart Road,Buena Vista,GA,31803,229-649-2478,1995,895,150,375,800,395,295,225,Included,3395,Included,2595
Watson-Yates Funeral Home,watson-yates-funeral-home,123 Front St,Seaford,DE,19973,302-629-8561,1400,700,40,200,375,225,275,125,Not Available,1675,Not Available,1400
Watts Funeral Home,watts-funeral-home,200 South First,Madill,OK,73446,580-795-3311,1400,900,250,200,570,275,175,75,Not Available,3195,Included,2625
Watts Funeral Home,watts-funeral-home-01,East Hwy 70,Kingston,OK,73439,580-564-1313,1400,900,250,200,570,275,175,75,Not Available,3195,Included,2625
Watts Funeral Home,watts-funeral-home-02,650 Highway 15 North,Jackson,KY,41339,606-666-2405,1495,450,195,280,280,160,225,65,Not Available,1880,Included,1600
Waud's Tillamook Funeral Home,wauds-tillamook-funeral-home,1414 Third Street,Tillamook,OR,97141,503-842-7557,1145,355,90,95,550,295,245,Not Available,95,1535,Included,985
Waugh-Yokum & Friskel Memorial Chapel,waugh-yokum-friskel-memorial-chapel,16 N. Buckeye,Iola,KS,66749,620-365-2948,1475,375,225,225,250,225,250,Not Available,Not Available,1725,275,1475
Waybright Funeral Home,waybright-funeral-home,511 South Church Street,Ripley,WV,25271,304-372-2881,2910,850,150,690,690,275,275,150,Not Available,2940,Included,2250
Weathers Funeral Home ,weathers-funeral-home,106 S. Shelby St,Salem,IN,47167,812-883-6155,2000,650,60,450,450,150,175,125,100,2050,Included,1600
Weaver Funeral Home,weaver-funeral-home,630 Locust,Bristol,TN,37620,423-968-2111,2063,525,195,300,350,295,95,55,Not Available,2438,Included,2088
Weaver Mortuary,weaver-mortuary,1718 W. Third Ave,Williamson,WV,25661,304-235-2410,1680,525,225,345,355,195,230,80,Included,2810,Included,2455
Weaver & Randolph Funeral Home ,weaver-randolph-funeral-home,102 S. Indiana,Danville, IN,46122,317-745-4411,1290,575,90,710,610,215,255,245,Not Available,2260,Included,1650
Webb Funeral Home,webb-funeral-home,1144 W Main Street,Shelbyville,KY,40065,502-633-3750,1995,795,195,400,500,250,325,60,75,1895,300,1445
Webb & Rodrick Chapel,webb-rodrick-chapel,306 W. Main,Independence,KS,67301,620-331-3900,2150,205,125,240,400,325,200,100,Not Available,2770,Included,2370
Webb-Shinkle Mortuary,webb-shinkle-mortuary,200 S. Tracy Street,Clearwater,KS,67026,620-584-2244,2275,450,175,150,350,250,200,50,Not Available,2740,Included,2390
Weber Funeral Home,weber-funeral-home,112 Broad Street,Riverton,NJ,8077,856-829-2700,2995,950,250,450,350,350,400,175,Not Available,2100,Included,1750
Webster Progressive Funeral Home,webster-progressive-funeral-home,19557 Hwy 80 E,Shorter,AL,36075,334-727-2899,3100,650,Included,Included,Included,250,300,275,Not Available,Not Available,Not Available,Not Available
Weddle Funeral Home,weddle-funeral-home,1777 3rd. Ave,Stayton,OR,97383,503-769-2423,1510,325,110,220,410,325,250,150,Not Available,1235,Included,575
Week's Dryer Mortuary,weeks-dryer-mortuary,220 S. 134th Street,Tacoma,WA ,98444,253-537-0253,1450,800,195,250,650,400,275,95,Not Available,2355,Included,1905
Week's Funeral Home ,weeks-funeral-home,451 Cemetery Rd,Buckley,WA,98321,360-829-1171,1800,800,195,250,650,400,275,95,Not Available,2450,Included,2005
Weems Family Funeral Services,weems-family-funeral-services,104 West 5th Street,Carlisle,AR,72024,870-552-1500,670,450,150,250,500,175,200,150,Not Available,999,Included,795
Weicht Funeral Home ,weicht-funeral-home,207 N. West Street,Angola, IN,46703,260-665-3111,1794,552,100,881,1130,286,319,286,Not Available,2910,240,1880
Weigel Funeral & Cremation Service,weigel-funeral-cremation-service,"309 4th Avenue, NW",Mandan,ND,58554,701-663-5351,2595,795,230,610,610,180,175,120,Included,2805,Included,2195
Weigel Funeral Home,weigel-funeral-home,151W. George Street,Batesville, IN ,47006,812-934-3201,2385,590,230,420,495,185,185,Not Available ,60,3325,185,2830
Weiland Funeral Chapel,weiland-funeral-chapel,320 N. Egan,Madison,SD,57042,605-256-2870,1020,605,485,385,665,160,210,90,Included,2900,Included,2305
Weir MacCuish Funeral Home,weir-maccuish-funeral-home,144 Salem Street,Malden,MA,2148,781-322-0834,1935,810,295,1050,765,425,425,395,Not Available,4715,450,2725
Weise Funeral Home,weise-funeral-home,7210 Park Avenue,Allen Park,MI,48101,313-382-1150,2150,890,295,1080,575,375,340,195,Not Available,3070,240,2345
Welch & Cornett Funeral Home ,welch-cornett-funeral-home,140 E. Vincennes,Linton,IN,47441,812-847-2986,2455,895,295,350,350,295,295,60,95,2445,Included,2095
Welch Funeral Home,welch-funeral-home,202 South 4th Street,Arkadelphia,AR,71923,870-230-1400,1100,195,125,175,175,175,250,Not Available,Not Available,1495,Included,1295
Welch Funeral Home - Marks Chapel,welch-funeral-home-marks-chapel,10300 Richmond Road,Warsaw,VA,22572,804-333-3770,1695,695,105,495,595,240,240,105,105,2980,Included ,2385
Welch Funeral Home - Montros Chapel,welch-funeral-home-montros-chapel,17546 Kings Highway,Montross,VA,22520,804-493-8770,1695,695,105,495,595,240,240,105,105,2980,Included,2385
Welch Funeral Homes,welch-funeral-homes,201 W Lampkin St,Starkville,MS,39759,662-323-5905,1995,495,275,250,250,280,250,250,Included,2725,Included,2475
Welch Funeral Homes,welch-funeral-homes-01,3998 2nd Avenue,Maben,MS,39750,662-263-8264,1995,495,275,250,250,280,250,250,Included,2725,Included,2475
Welch & Worth Funeral Home F,welch-worth-funeral-home-f,970 McDonald Street,Waycross,GA,31501,912-283-1811,1250,500,75,100,150,50,100,75,Not Available,850,Included,700
Weldon-Haddix Funeral Home,weldon-haddix-funeral-home,502 Cross Street,Albany,KY,42602,606-387-6461,1800,525,215,500,500,75,175,75,Not Available,1895,Included,1395
Weller Funeral HomE,weller-funeral-home,327 N. MacLeod Avenue,Arlington,WA,98223,360-435-2509,2545,995,395,295,745,695,395,Not Available,Not Available,2885,Included,2140
Wellington Funeral Service,wellington-funeral-service,220 East,Pittsfield,MA,1201,413-445-4064,2295,575,265,415,860,365,365,Not Available,Included,4570,395,4005
Wells Funeral Home,wells-funeral-home,3715 Asheville Hwy,Canton,NC,28716,828-648-2371,2485,595,235,375,375,330,275,85,Not Available,3105,Included,2730
Wells Funeral Home,wells-funeral-home-01,340 MS Highway 35 North,Batesville,MS,38606,662-563-5700,1895,695,Included,250,250,200,275,175,Included,2645,Included,2395
Wells Funeral Homes,wells-funeral-homes,296 N Main St,Waynesville,NC,28786,828-456-3535,2485,595,235,375,375,330,275,85,Not Available,3105,Included,2730
Wells-Sheffield Funeral Home ,wells-sheffield-funeral-home,828 Front Street,Lovingston,VA,22949,434-263-4097,2090,850,160,415,450,260,235,125,90,2550,Not Available,2250
Wenner Funeral Home,wenner-funeral-home,151 Oakwood Ave SE,Richmond,MN,56368,320-685-7762,3175,830,470,575,575,330,315,Not Available,Not Available,4270,Included,3695
Wenner Funeral Home,wenner-funeral-home-01,600 Red Rive Ave S,Cold Spring,MN,56320,320-685-7762,3175,830,470,575,575,330,315,Not Available,Not Available,4270,Included,3695
Werson Funeral Home,werson-funeral-home,635 N. Wood Ave,Linden,NJ,7036,908-486-4118,1390,895,595,990,350,325,345,345,Not Available,1950,165,1600
Wessels & Wilk Funeral Home,wessels-wilk-funeral-home,23690 Woodward Avenue,Pleasant Ridge,MI,48069,248-543-0100,1480,450,200,460,485,225,295,145,Not Available,1260,175,775
West and Dunn Funeral Home,west-and-dunn-funeral-home,904 Lucas Street,Erwin,NC,28339,910-897-6491,1550,495,Included,350,350,200,200,125,125,1275,275,925
West Central Cremation Service,west-central-cremation-service,1000-19th Avenue S.W,Willmar,MN,56201,320-235-0545,Not Available,Not Available,Not Available,483,Not Available,Not Available,Not Available,Not Available,Not Available,2423,Included,1780
West Cobb Funeral Home,west-cobb-funeral-home,2480 Macland Road,Marietta,GA,30064,770-419-9234,2795,690,250,590,590,440,340,100,125,2895,Included,995
West & Dunn Funeral Home,west-dunn-funeral-home,208 West Main St.,Benson,NC,27504,919-894-3123,1550,495,Included,350,350,200,200,125,125,1275,275,925
West & Dunn Funeral Homes,west-dunn-funeral-homes,503 Raleigh Street,Newton Grove,NC,28366,910-594-1004,1550,495,Included,350,350,200,200,125,125,1275,275,925
West Funeral Home,west-funeral-home,226 4th Avenue W,West Fargo,ND,58078,701-282-6699,2990,565,230,210,490,190,220,95,Not Available,3650,Included,3160
West Funeral Home,west-funeral-home-01,31 6th Ave N,Casselton,ND,58012,701-347-4422,2990,565,230,210,490,190,220,95,Not Available,3650,Included,3160
"West Funeral Home, Cemeteries & Cremation Service",west-funeral-home-cemeteries-cremation-service,17 Merrimon Avenue,Weaverville,NC,28787,828-645-3011,2595,925,250,395,495,350,395,95,Not Available,2885,Included,2390
West Haven Funeral Home,west-haven-funeral-home,662 Savin,West Haven,CT,6516,203-934-7921,2335,650,295,695,425,350,350,65,Not Available,2626,Included,2201
West Memorial Funeral Home,west-memorial-funeral-home,103 Jefferson Street,Starkville,MS,39759,662-323-6674,1195,545,145,145,Included,125,225,Included,Not Available,1595,Included,1595
West-Murley F.H. Huntsville Chapel,west-murley-f-h-huntsville-chapel,3096 Baker Hwy,Huntsville,TN,37756,423-569-8534,1385,595,125,385,385,150,150,100,Not Available,1675,305,1175
Westbrook Funeral Home,westbrook-funeral-home,716 6th St,Westbrook,MN,56183,507-274-6700,3100,635,425,225,370,325,415,Included,Not Available,2370,Not Available,2000
Westbrook Funeral Home,westbrook-funeral-home-01,112 N. Livermore,Hazen,AR,72064,870-255-3221,1309,500,200,250,800,165,225,80,Not Available,2340,Included,1840
Westbrook Funeral Home,westbrook-funeral-home-02,404 W. DeWitt Henry Drive,Beebe,AR,72012,501-882-5412,2130,585,195,320,730,350,350,Included,Not Available,3210,Included,2480
Westbrooks Funeral Home,westbrooks-funeral-home,116 Gatun Street,Okolona,MS,38860,662-369-4838,975,700,75,75,250,425,225,100,100,2287,Included,2037
Westbrooks Funeral Home,westbrooks-funeral-home-01,600 W. Vine Street,Aberdeen,MS,39730,662-369-9351,975,700,75,75,250,425,225,100,100,2287,Included,2037
Westcott Funeral Home,westcott-funeral-home,631 South 1st Street,Camp Verde,AZ,86322,928-567-3580,1450,475,110,325,375,375,315,Included ,Not Available,2605,Included ,2230
Westcott Funeral Home ,westcott-funeral-home-01,1013 E. Mingus Avenue,Cottonwood,AZ,86326,928-634-9566,1450,475,110,325,375,375,315,Included,Not Available,2605,Included ,2230
Westfield Chapel,westfield-chapel,3236 West Huntsville Ave,Springdale,AR,72762,479-751-4747,1370,525,175,295,295,240,295,150,Not Available,1290,Included,995
Westford Funeral Home & Crematory Service,westford-funeral-home-crematory-service,1301 Broadway,Bellingham,WA,98225,360-734-1717,1895,365,150,210,655,425,195,85, Not Available ,2645,Included ,1990
Westhaven Funeral Home,westhaven-funeral-home,3060 Depot St.,Utica,MS,39175,601-885-9551,625,995,175,250,150,575,300,135,Not Available,2845,Included,2595
Westhaven Funeral Home,westhaven-funeral-home-01,19068 Hwy 51,Hazlehurst,MS,39083,601-922-3666,625,995,175,250,150,575,300,135,Not Available,2845,Included,2595
Westmoreland Funeral Home and Crematory,westmoreland-funeral-home-and-crematory,26 S. Thomason St.,Old Fort,NC,28762,828-668-3161,1995,675,250,225,350,375,325,175,75,2500,280,2175
Weston's Funeral Home,westons-funeral-home,215 6th S.W.,Cairo,GA,39828,229-377-4820,2000,800,250,300,300,150,250,250,Not Available,1400,Included,1100
West's Mortuary,wests-mortuary,731 North Lee Street,Americus,GA,31709,229-924-2343,1895,750,175,425,425,175,250,150,Not Available,2595,Included,1895
West's Mortuary,wests-mortuary-01,325 Drayton Street,Montezuma,GA,31063,478-472-7715,1895,750,175,425,425,175,250,150,Not Available,2595,Included,1895
Westside Cremation & Memorial Service,westside-cremation-memorial-service,12725 SW Millikan Way Suite 300,Beaverton,OR,97005,503-640-9045,535,Not Available,Not Available,Not Available,Not Available,250,Not Available,Not Available,Not Available,Not Available,Included,750
Westside Funeral Home,westside-funeral-home,106 Lewis Street,Tabor City,NC,28463,910-653-4847,1695,500,75,200,400,150,150,150,Not Available,1900,Included,1500
Westside Funeral Home,westside-funeral-home-01,5695 Valley Rd,Fairfield,AL,35064,205-785-3522,1495,Included,225,500,500,1595,475,Not Available,Not Available,2695,Included,2195
Westside Funeral Home,westside-funeral-home-02,8505 U.S. 31,Calera,AL,35040,205-668-1188,1495,Included,225,500,500,1595,475,Not Available,Not Available,2695,Included,2195
Westside Leitz-Eagan Funeral Home,westside-leitz-eagan-funeral-home,5101 Westbank Exp.,Marrero,LA,70072,504-341-9421,2595,1295,295,295,295,595,195,230,150,2790,Included,2495
Wetherby Funeral Home,wetherby-funeral-home,402 Wildwood Ave,Jackson,MI,49201,517-787-7511,1985,1045,395,595,725,560,795,Not Available,Not Available,3270,Not Available,3065
Wevley Funeral Home,wevley-funeral-home,107 First Street N. E,Sebeka,MN,56477,218-837-9455,2500,650,275,275,300,200,205,90,Not Available,2800,Not Available,2500
Weymouth Funeral Home,weymouth-funeral-home,12746 Nettles Dr,Newport News,VA,23606,757-930-2222,1350,600,Included ,400,450,225,225,125,Not Available ,2475,Included,2025
Wharton Funeral Chapel,wharton-funeral-chapel,1302 Oklahoma,Alva,OK,73717,580-327-1234,1714,545,100,125,400,100,150,80,Not Available,2100,Included,1800
Wheeler Funeral Home,wheeler-funeral-home,11405 Browns Bridge Road,Covington,GA,30014,770-786-7111,2630,850,135,495,425,370,270,Not Available,Not Available,2455,Included,2045
Wheeler & Woodlief Funeral Home,wheeler-woodlief-funeral-home,1130 N. Winstead Avenue,Rocky Mount,NC,27804,252-451-8800,1995,550,130,425,400,250,350,150,Included,2770,Included,2395
Wherry Bros. Mortuary,wherry-bros-mortuary,202 N 3rd St,"Tecumseh,",NE,68450,402-335-2921,1795,695,225,280,350,250,275,125,Included,3345,275,2995
Wherry Bros. Mortuary,wherry-bros-mortuary-01,919 G Street,Pawnee City,NE,68420,402-852-2387,1795,695,225,280,350,250,275,125,Included,3345,275,2995
Wherry Bros. Mortuary,wherry-bros-mortuary-02,207 Nemaha Street,"Humboldt,",NE,68376,402-862-2915,1795,695,225,280,350,250,275,125,Included,3345,275,2995
Whetsel Funeral Service,whetsel-funeral-service,1503 South Park Avenue,Alexandria, IN,46001,765-724-9388,1995,725,210,420,420,240,300,90,90,2470,400,1970
Whidbey Memorial Funeral  and Cremation Service,whidbey-memorial-funeral-and-cremation-service,746 N.E. Midway Blvd,Oak Harbor,WA,98277,360-675-5777,1795,510,205,250,600,425,350,200,Not Available,2395,Included,1795
Whiddon-Shiver Funeral Home,whiddon-shiver-funeral-home,10451 Hwy 84 East,Thomasville,GA,31757,229-226-5621,1750,825,175,235,290,250,275,90,90,1965,325,1675
Whinery-Huddleston Funeral Services,whinery-huddleston-funeral-services,6210 NW Cache Road,Lawton,OK,73505,580-536-0211,2295,495,250,125,345,495,295,95,Not Available,1340,Included,1045
Whinery-Savage Funeral Service,whinery-savage-funeral-service,403 W Country Club,Elk City,OK,73644,580-225-2112,2600,600,85,195,400,175,175,95,Not Available,2995,Included,1940
Whipple & Allen Funeral Home,whipple-allen-funeral-home,132 Manderson Street,Toomsboro,GA,31090,478-933-5335,2215,575,190,195,375,95,275,Not Available,Not Available,2073,Included,1798
Whitaker Funeral Home,whitaker-funeral-home,25 N. Kennedy Street,Metter,GA,30439,912-685-5158,3500,895,195,650,550,225,350,Not Available,Not Available,2350,Included,1800
White Family Funeral Home,white-family-funeral-home,3 NE 3rd Street,Idabel,OK,74745,580-286-3375,2000,1000,300,300,300,300,300,100,Not Available,2350,Included,1800
White-Fiess Funeral Home Holcomb des Groseilliers F,white-fiess-funeral-home-holcomb-des-groseilliers-f,165 Brooklyn Street,Morrisville,VT,5661,802-888-2865,1835,450,175,395,395,250,325,125,Not Available,2575,Not Available,2180
White Funeral Home,white-funeral-home,700 Broad Street,Summersville,WV,26651,304-872-2361,1100,550,Included,450,500,Included,200,125,Not Available,2340,Included,1790
White Funeral Home,white-funeral-home-01,11 Railroad Avenue,Richwood,WV,26261,304-846-2372,1100,550,Included,450,500,Included,200,125,Not Available,2340,Included,1790
White Funeral Home,white-funeral-home-02,Little Trail Rd & Route 41,Craigsville,WV,26205,304-742-5269,1100,550,Included,450,500,Included,200,125,Not Available,2340,Included,1790
White Funeral Home,white-funeral-home-03,1956 Rt 30,Townshend,VT,5353,802-365-7555,3425,720,295,295,455,590,370,150,200,2795,395,2340
White Funeral Home,white-funeral-home-04,315 Hwy 11 S,Poplarville,MS,39470,601-795-4982,3395,895,190,235,395,295,495,235,Not Available,2590,Included,2195
White Funeral Home,white-funeral-home-05,102 North 1st Street,Lumberton,MS,39455,601-796-2781,3395,895,190,235,395,295,495,235,Not Available,2590,Included,2195
White Funeral Home,white-funeral-home-06,201 5th St. Northwest,Lonsdale,MN,55046,507-744-2368,2885,675,240,310,615,390,275,Not Available,Included,3320,690,2705
White Funeral Home,white-funeral-home-07,20134 Kenwood Trail,Lakeville,MN,55044,952-469-2723,2885,675,240,310,615,390,275,Not Available,Included,3320,690,2705
White Funeral Home,white-funeral-home-08,901 3rd St,Farmington,MN,55024,651-463-7374,2885,675,240,310,615,390,275,Not Available,Included,3320,690,2705
White Funeral Home,white-funeral-home-09,12804 Nicollet Ave,Burnsville,MN,55337,952-894-5080,2885,675,240,310,615,390,275,Not Available,Included,3320,690,2705
White Funeral Service,white-funeral-service,3915 Oleander Dr,Wilmington,NC,28403,910-791-4444,1995,875,175,350,450,275,300,125,Not Available,2045,Included,1595
White-Love Funeral Home,white-love-funeral-home,525 South 2nd Street,Chesterton,IN,46304,219-926-1309,1725,695,325,400,395,275,195,100,145,2335,Included ,1845
White-Mahon Funeral Home ,white-mahon-funeral-home,225 West Harper Street ,Troy,TN,38260,731-536-4666,1795,500,100,500,500,200,120,100,Included,2595,Included,2095
White Mortuary & Crematory,white-mortuary-crematory,136 4th Ave E,Twin Falls,ID,83301,208-733-6600,2995,495,145,245,425,395,200,95,Not Available,2270,Included,1845
